V1,V2,V3,V4,V5
-0.733236,-0.762609,-0.266674,0.492007,2.115977
0.784967,0.476506,-0.196735,-0.720675,-0.316538
2.802561,-1.730896,-0.664267,-0.594755,-0.009391
-1.045454,-0.633847,0.656134,1.061915,1.285946
-0.79122,-0.308479,1.586241,-1.405747,-0.624088
-0.32009,1.450741,0.414052,0.966577,-0.752531
-0.739543,-0.896713,-0.270589,0.902223,1.785499
-0.599978,2.430428,-1.499986,-0.834377,-0.421967
-0.496213,0.778977,1.146835,-1.186049,-0.624576
-0.687378,-0.537172,0.778747,-1.493846,2.571103
-0.45261,2.421733,-1.452235,-0.801753,-0.398778
-0.403065,0.365738,-1.272388,-0.117621,-0.308817
-0.670896,-0.401574,-1.53859,2.302369,-2.008787
0.022728,-1.17527,1.140567,0.46452,0.607868
-0.491892,1.953492,-1.515105,0.155873,-0.136583
-0.213328,2.278922,-1.425391,-0.111969,0.340044
-0.511846,-0.408298,1.90567,-1.23319,0.762737
-0.350025,1.762964,0.156529,-0.892028,-0.425757
0.153847,1.36043,-1.249723,0.049686,1.468971
-0.320482,-0.00385,1.040052,0.609142,1.904223
-0.676269,0.41866,0.491475,-1.112137,-0.136583
-0.033149,1.323993,-1.261445,-0.198704,0.148284
0.230229,2.010092,-1.251154,-0.699083,-0.375525
-0.801669,-0.891051,0.575036,1.634009,-1.06743
0.040866,1.043036,-1.218732,-0.108292,-0.482811
-0.656479,-0.704701,0.892996,1.154442,1.079749
0.642279,-0.345356,-0.015551,0.300872,0.427846
2.383442,-0.839286,-0.416997,0.703529,-0.58104
-0.700336,-1.090649,-0.320386,0.892908,3.068566
-0.307373,1.80248,-1.328647,-0.729559,-0.353043
-0.620347,0.148937,0.498467,0.086997,0.344832
-0.377126,1.598099,-0.079773,-0.046706,-0.405067
-0.594561,-0.769934,1.445993,0.624037,0.813303
1.020745,0.714245,-1.118402,-0.325665,0.137831
1.892578,-1.158386,-0.676199,-0.304336,-0.24579
-0.440401,0.198863,1.516576,-1.263376,0.579047
-0.182883,0.299738,1.157003,0.329448,-0.534676
0.771587,0.285955,-0.256734,0.018074,-0.46668
0.465146,0.553786,-1.091654,-0.639129,0.035146
2.173807,-1.855182,-0.948266,-0.602093,0.006485
2.146826,-0.746456,-0.346848,0.820393,-0.648817
-0.61959,-0.85467,-0.074209,1.862813,-0.136583
0.403788,0.144166,1.233821,0.385955,0.514469
0.052754,1.671619,-1.348953,-0.728392,-0.345149
-0.114819,1.766102,0.024654,-0.778482,-0.337432
-0.641016,0.893399,0.482863,0.288521,-0.136583
0.487039,-0.36493,-1.098068,-0.371273,-0.241203
-1.180169,0.892142,0.135193,0.132527,-0.136583
0.900242,0.452806,-0.198779,-0.730377,-0.328426
-0.565762,1.794478,-1.351076,-0.736323,0.195233
-0.650582,-0.418186,2.129242,-1.480898,-0.136583
-0.269063,1.545035,0.773063,-1.017963,-0.463345
-0.172813,-0.782161,1.459705,0.787689,2.048953
-0.824377,-0.947996,-0.206557,1.470324,1.413292
-0.883593,-1.214377,-0.697352,-0.169275,1.44693
-0.581642,2.060747,-1.435005,-0.130718,0.193463
-0.505837,-0.020076,0.068607,-0.92756,0.672361
