V1,V2,V3,V4,V5
-0.305515,1.451634,-1.283096,-0.112059,1.922377
-0.811749,-0.96892,0.329162,2.435032,-0.136583
-0.742478,0.067791,0.061318,0.348569,-0.136583
0.971789,-0.61924,-0.929432,-0.419601,-0.055724
1.510677,1.033072,-0.238969,0.215279,0.324021
-0.231806,1.21373,-1.401539,-0.767158,-0.330042
-0.361686,1.166589,0.251866,0.005841,-0.496246
-0.274584,1.485721,-0.11583,-0.12967,0.290553
1.187316,-0.615846,-0.601909,-0.320811,-0.26767
1.401889,0.333731,-1.23743,-0.250626,-0.359778
-0.728687,-0.11618,0.975217,-1.245763,-0.136583
-0.628374,0.450973,0.108703,-0.085295,-0.341742
2.465365,-0.552937,-0.96503,-0.383614,-0.02989
0.253869,1.3468,-1.224055,-0.701688,-0.311274
-0.529819,1.089144,-1.404216,-0.230338,0.122925
0.170079,1.651609,-1.282533,0.909731,-0.798282
-0.298182,1.555376,-1.245054,-0.713581,-0.352612
-0.348363,1.121515,0.479427,0.02346,-0.475352
-0.610067,0.733833,0.404543,0.554351,-0.890874
-0.687508,-0.306381,1.590185,-1.317941,-0.651253
3.32857,-1.016956,-0.997835,-0.617848,-0.239472
0.3476,1.517681,-1.321252,-0.778918,-0.371861
-0.213466,1.610577,0.851913,0.087995,-0.490439
0.190183,1.670385,-1.446638,-0.167336,0.155596
1.528098,-0.859119,-0.685243,-0.409762,-0.032347
2.261274,-0.702203,-0.988885,-0.394903,-0.19901
2.116874,-0.913323,-0.632608,-0.333514,-0.223285
-0.79785,-0.760573,0.745757,2.040245,-0.136583
-0.589461,-0.47521,1.49357,-1.32771,-0.685722
-0.75511,-0.160173,0.880969,-1.090817,-0.491231
-0.771189,-0.6824,0.865344,0.919448,-0.136583
1.256907,-0.714019,-0.656182,-0.245235,-0.351745
-0.689161,-0.757967,0.952547,-2.030907,-0.86686
1.209815,0.735783,-1.276338,-0.281791,-0.521261
0.015602,1.706552,-1.516653,-0.02279,-0.136583
-0.698664,0.221693,1.867072,-1.590635,-0.788182
-0.688146,-0.925685,0.953876,0.985371,1.087868
0.377854,0.700909,-1.31112,-0.705226,-0.320502
2.896117,-0.711862,-0.487831,0.339435,-0.515134
0.552438,-0.189665,-1.669512,-1.249093,-0.683344
-0.795701,-0.614227,1.169343,0.846745,-0.873953
-0.769326,-0.509881,1.253542,-1.620641,-0.831599
0.923508,1.245984,-1.242277,-0.223867,0.147514
-0.713929,0.100938,1.142837,0.369351,-0.136583
-0.808117,-1.1328,-0.330514,0.277537,-1.805152
-0.852457,-0.979773,0.364205,1.904896,-0.136583
0.489624,0.744572,-0.19449,0.397098,1.151635
-0.832608,-1.061006,-0.336654,1.770124,-1.937404
-0.33303,2.199445,-1.302095,-0.838998,-0.670795
-0.8844,-1.141479,-0.35172,-1.155335,-0.136583
-0.449539,-0.779758,0.232133,2.409433,-1.46098
0.686158,0.626496,-1.197832,-0.655752,-0.277196
-0.524252,0.544856,0.682565,-1.130276,-0.626785
2.452952,-0.884167,-0.966015,-0.328297,-0.236119
1.051942,-0.871434,1.663999,-1.23635,-0.515592
0.097284,1.840092,-1.272694,-0.71515,-0.359716
-0.714424,0.162884,0.646906,0.136596,-0.443321
-0.120335,0.577651,0.094614,-0.784084,0.092004
1.424888,0.230894,-0.281815,-0.006409,-0.3636
1.319244,0.73643,-0.408066,-0.094506,0.574286
-1.050485,-2.03916,-2.111571,-2.48534,-0.136583
3.215379,-0.896525,-0.473327,-0.068751,-0.343052
0.576543,1.022344,-1.303301,0.044273,1.633037
-0.365106,1.656908,-1.377639,-0.872801,-0.136583
0.282714,1.157012,-1.25172,-0.750986,-0.440112
3.170557,-1.868491,-0.997511,-0.403461,-0.026261
0.544915,0.916793,-1.285285,-1.097911,1.985561
0.485187,0.800491,-1.211004,-0.722754,-0.322462
-0.668409,0.890673,0.997056,0.742015,-0.136583
-1.134392,0.451795,0.626515,0.277241,0.510236
1.002334,1.273315,-1.190755,-0.674093,0.097898
-0.261416,2.166122,-1.368264,-0.746582,-0.373928
1.653982,-0.353302,-0.984723,-0.344136,0.024499
2.267713,-1.109559,0.433092,-0.882608,0.330294
-0.812631,-1.11416,-0.191122,1.98311,-1.268767
-1.920272,-0.201145,-1.132943,-0.669969,-0.012389
-0.882808,-1.215347,-0.684934,-0.759906,-0.136583
-0.57972,1.303007,-1.427979,-0.873963,-0.595115
-0.660014,1.456087,-1.398777,-0.064528,-0.374922
0.393156,-0.474218,1.271134,-1.339673,-0.589907
