Model,Strategy,precision [C0],recall [C0],F1 [C0]
RandomForest,none,0.9188078108941419,0.9361256544502617,0.9273858921161826
KNN,none,0.9078947368421053,0.9392670157068063,0.9233144621718992
CustomEnsemble,none,0.9087221095334685,0.9382198952879581,0.9232354456465739
XGBoost,none,0.9135802469135802,0.9298429319371728,0.9216398546964193
XGBoost,over,0.9397590361445783,0.8984293193717278,0.9186295503211992
KNN,over,0.9217758985200846,0.9130890052356021,0.9174118884797475
CustomEnsemble,over,0.9415011037527594,0.8931937172774869,0.9167114454594304
RandomForest,over,0.9523809523809523,0.8795811518324608,0.914534567229178
SVC,none,0.9011213047910296,0.9256544502617801,0.9132231404958677
CustomEnsemble,under,0.9468208092485549,0.8575916230366493,0.9
RandomForest,under,0.9531615925058547,0.8523560209424084,0.8999447208402432
XGBoost,under,0.9444444444444444,0.8544502617801047,0.897196261682243
SVC_UMAP,none,0.8857142857142857,0.9089005235602095,0.8971576227390181
DecisionTree,none,0.8883143743536711,0.8994764397905759,0.8938605619146722
SVC,over,0.912568306010929,0.8743455497382199,0.893048128342246
SVC,under,0.9377880184331797,0.8523560209424084,0.8930334613274822
DecisionTree,over,0.915929203539823,0.8670157068062827,0.8908015061861215
MLP,none,0.8845750262329486,0.8827225130890053,0.8836477987421384
KNN,under,0.9281575898030128,0.8387434554973822,0.8811881188118812
DeepConvModel,none,0.8331771321462043,0.930890052356021,0.8793273986152325
SVC_UMAP,under,0.9206896551724137,0.8387434554973822,0.8778082191780822
SVC_UMAP,over,0.9513715710723192,0.7989528795811518,0.8685258964143426
DecisionTree,under,0.9159859976662778,0.8219895287958116,0.8664459161147903
AdaBoost,none,0.8681672025723473,0.8481675392670157,0.8580508474576272
DeepConvModel,under,0.8568443051201672,0.8586387434554974,0.8577405857740585
DeepConvModel,over,0.9290953545232273,0.7958115183246073,0.8573040045121263
SVC_PCA,none,0.8631016042780749,0.8450261780104712,0.8539682539682539
MLP,over,0.948051948051948,0.7643979057591623,0.8463768115942029
MLP,under,0.9489528795811518,0.7591623036649214,0.8435136707388017
AdaBoost,under,0.9156171284634761,0.7612565445026178,0.8313321898227558
SVC_PCA,under,0.8920245398773006,0.7612565445026178,0.8214689265536723
AdaBoost,over,0.9350828729281768,0.7089005235602094,0.806432400238237
NaiveBayes,none,0.8556085918854416,0.7507853403141361,0.7997769102063581
SVC_PCA,over,0.8939828080229226,0.6534031413612565,0.7549909255898367
NaiveBayes,under,0.8740740740740741,0.6178010471204188,0.7239263803680982
NaiveBayes,over,0.8818897637795275,0.5863874345549738,0.7044025157232704
