Model,Strategy,accuracy,weighted_precision,weighted_recall,weighted_F1,ROC-AUC
RandomForest,none,0.8963730569948186,0.8953047353805651,0.8963730569948186,0.895651828271066,0.9505526468877254
XGBoost,over,0.8874907475943745,0.8925027752635721,0.8874907475943745,0.8890588887388909,0.9497514411126977
CustomEnsemble,none,0.8897113249444856,0.8880967103629555,0.8897113249444856,0.8883456905926264,0.9468374847956
KNN,none,0.8897113249444856,0.8880582874992475,0.8897113249444856,0.8882503189780763,0.8547345179544134
XGBoost,none,0.8882309400444115,0.8870938998946071,0.8882309400444115,0.8874980993359158,0.9466233010735629
CustomEnsemble,over,0.8852701702442635,0.8914618910126146,0.8852701702442635,0.8871020638061461,0.9437516526521761
RandomForest,over,0.8837897853441895,0.8944660224309351,0.8837897853441895,0.8863844316766799,0.9511304140885293
KNN,over,0.8837897853441895,0.8846339211925427,0.8837897853441895,0.8841675617839149,0.8631101591834577
SVC,none,0.8756476683937824,0.8738576290793811,0.8756476683937824,0.874372260724521,0.9056401713469777
RandomForest,under,0.8660251665433013,0.883732971416979,0.8660251665433013,0.8698615327067851,0.9368898408165426
CustomEnsemble,under,0.8652849740932642,0.8803842028257254,0.8652849740932642,0.8688273236755841,0.9373631603998097
XGBoost,under,0.8615840118430792,0.8770671727603775,0.8615840118430792,0.8652541304561754,0.9298640858850283
SVC,under,0.8556624722427831,0.8704552724882583,0.8556624722427831,0.8593613073399035,0.9225924163096937
SVC,over,0.8519615099925981,0.8575217665080411,0.8519615099925981,0.853936828182485,0.9053017081812893
DecisionTree,over,0.8497409326424871,0.8572926145569482,0.8497409326424871,0.8522250242803583,0.8420923898672591
SVC_UMAP,none,0.8527017024426351,0.8504771348367286,0.8527017024426351,0.8512526828762601,0.8044224972235443
DecisionTree,none,0.8490007401924501,0.8477721891249119,0.8490007401924501,0.8483105890890312,0.8151277169601776
KNN,under,0.8401184307920059,0.8567159771629335,0.8401184307920059,0.8443926517171513,0.8410888994658627
SVC_UMAP,under,0.8349370836417469,0.8500908644735695,0.8349370836417469,0.8390922108031933,0.8562642128087155
MLP,none,0.8356772760917839,0.8359229934291766,0.8356772760917839,0.8357981086425404,0.8997435083822517
SVC_UMAP,over,0.8290155440414507,0.8631147646893976,0.8290155440414507,0.8354124582351571,0.876579935480459
DecisionTree,under,0.8208734270910437,0.8397419127517177,0.8208734270910437,0.8258915213880405,0.8350772119096727
DeepConvModel,over,0.8127313101406366,0.842641017608582,0.8127313101406366,0.8193044631319112,0.8976043154053626
MLP,over,0.8038490007401925,0.8497656018635569,0.8038490007401925,0.8119018615467349,0.9028610714474589
DeepConvModel,none,0.8193930421909696,0.813957063053694,0.8193930421909696,0.8095215011328559,0.8884948966100799
MLP,under,0.8008882309400445,0.8490659956597233,0.8008882309400445,0.8091704883170155,0.8938759320958275
AdaBoost,none,0.8016284233900814,0.8051304643996744,0.8016284233900814,0.8031533537702855,0.8768192395155746
DeepConvModel,under,0.7986676535899334,0.7983723406380032,0.7986676535899334,0.7985181018628849,0.8684832619387594
SVC_PCA,none,0.7957068837897854,0.7989470145824916,0.7957068837897854,0.7971418929074816,0.8130466973398909
AdaBoost,under,0.7816432272390822,0.8203681789394904,0.7816432272390822,0.7900376899630815,0.8677917922682321
SVC_PCA,under,0.7660991857883049,0.7989901364831918,0.7660991857883049,0.7744165288217293,0.8104050981014332
AdaBoost,over,0.7594374537379719,0.8241489239659422,0.7594374537379719,0.770049215850935,0.8701874768628696
NaiveBayes,none,0.7342709104367136,0.7619444167320375,0.7342709104367136,0.7427023757535985,0.7949071870537839
SVC_PCA,over,0.7002220577350111,0.7764801171898246,0.7002220577350111,0.713640169306689,0.8098709609180812
NaiveBayes,under,0.6669133974833457,0.7527195948877894,0.6669133974833457,0.6818048482368259,0.7947009360621925
NaiveBayes,over,0.6521095484826055,0.7548046167717326,0.6521095484826055,0.6671578843791997,0.789542017028928
